slug,view_count,event,filmed
simon_lewis_don_t_take_consciousness_for_granted,706416,INK Conference,2010-12-01
simon_sinek_how_great_leaders_inspire_action,36500974,TEDxPuget Sound ,2009-09-17
simon_sinek_why_good_leaders_make_you_feel_safe,7515201,TED2014,2014-03-14
sinead_burke_why_design_should_include_everyone,1211812,TEDNYC,2017-03-08
sir_ken_robinson_bring_on_the_revolution,7536932,TED2010,2010-02-06
sirena_huang_dazzles_on_violin,2753344,TED2006,2006-02-23
sisonke_msimang_if_a_story_moves_you_act_on_it,1200464,TEDWomen 2016,2016-10-27
sitawa_wafula_why_i_speak_up_about_living_with_epilepsy,779175,TEDNairobi Ideas Search,2017-02-08
sivamani_rhythm_is_everything_everywhere,562339,TEDIndia 2009,2009-11-06
siyanda_mohutsiwa_how_young_africans_found_a_voice_on_twitter,1010748,TED2016,2016-02-18
skylar_tibbits_can_we_make_things_that_make_themselves,997318,TED2011,2011-02-24
skylar_tibbits_the_emergence_of_4d_printing,2532029,TED2013,2013-02-25
sleepy_man_banjo_boys_bluegrass_virtuosity_from_new_jersey,5514902,TED2013,2013-02-26
so_percussion_music_for_wood_and_strings,795789,TED2016,2016-02-15
sofi_tukker_awoo,965214,TEDNYC,2017-03-08
sofia_jawed_wessel_the_lies_we_tell_pregnant_women,1743024,TEDxOmaha,2016-10-08
sonaar_luthra_meet_the_water_canary,362844,TEDGlobal 2011,2011-07-14
sonia_shah_3_reasons_we_still_haven_t_gotten_rid_of_malaria,1134274,TEDGlobal 2013,2013-06-22
sophal_ear_escaping_the_khmer_rouge,549824,TED2009,2009-02-06
sophie_hunger_plays_songs_of_secrets_city_lights,526532,TEDGlobal 2009,2009-07-23
sophie_scott_why_we_laugh,2920487,TED2015,2015-03-20
spencer_wells_is_building_a_family_tree_for_all_humanity,683955,TEDGlobal 2007,2007-06-06
srdja_popovic_how_to_topple_a_dictator,288544,TEDxKrakow,2011-11-23
srikumar_rao_plug_into_your_hard_wired_happiness,993193,Arbejdsglaede Live,2009-05-05
stacey_kramer_the_best_gift_i_ever_survived,3560147,TED2010,2010-02-12
stacy_smith_the_data_behind_hollywood_s_sexism,960309,TEDWomen 2016,2016-10-26
stanley_mcchrystal,2544978,TED2011,2011-03-04
stanley_mcchrystal_the_military_case_for_sharing_knowledge,1002676,TED2014,2014-03-20
stefan_larsson_what_doctors_can_learn_from_each_other,855279,TED@BCG Singapore,2013-10-10
stefan_sagmeister_7_rules_for_making_more_happiness,1700323,TED@Cannes,2010-06-11
stefan_sagmeister_on_what_he_has_learned,760489,TED2008,2008-02-02
stefan_sagmeister_shares_happy_design,1818693,TED2004,2004-02-02
stefan_sagmeister_the_power_of_time_off,3034511,TEDGlobal 2009,2009-07-23
stefan_wolff_the_path_to_ending_ethnic_conflicts,313140,TEDGlobal 2010,2010-07-15
stefana_broadbent_how_the_internet_enables_intimacy,1222376,TEDGlobal 2009,2009-07-25
stefano_mancuso_the_roots_of_plant_intelligence,1120903,TEDGlobal 2010,2010-07-15
stefon_harris_there_are_no_mistakes_on_the_bandstand,664523,TEDSalon NY2011,2011-11-09
stella_young_i_m_not_your_inspiration_thank_you_very_much,2586742,TEDxSydney,2014-04-26
stephanie_busari_how_fake_news_does_real_harm,1142285,TEDLagos Ideas Search,2017-02-11
stephen_burt_why_people_need_poetry,1143315,TEDGlobal 2013,2013-06-20
stephen_cave_the_4_stories_we_tell_ourselves_about_death,2295086,TEDxBratislava,2013-07-18
stephen_coleman_the_moral_dangers_of_non_lethal_weapons,490844,TEDxCanberra,2011-09-24
stephen_friend_the_hunt_for_unexpected_genetic_heroes,972813,TED2014,2014-03-18
stephen_hawking_asks_big_questions_about_the_universe,8878558,TED2008,2008-02-27
stephen_lawler_tours_microsoft_virtual_earth,312422,TED2007,2007-03-03
stephen_palumbi_following_the_mercury_trail,368970,Mission Blue Voyage,2010-04-10
stephen_petranek_counts_down_to_armageddon,1734223,TED2002,2002-02-02
stephen_petranek_your_kids_might_live_on_mars_here_s_how_they_ll_survive,1551663,TED2015,2015-03-16
stephen_ritz_a_teacher_growing_green_in_the_south_bronx,1153722,TEDxManhattan,2012-02-01
stephen_wilkes_the_passing_of_time_caught_in_a_single_photo,1635979,TED2016,2016-02-19
stephen_wolfram_computing_a_theory_of_everything,1563440,TED2010,2010-02-12
steve_howard_let_s_go_all_in_on_selling_sustainability,1063963,TEDGlobal 2013,2013-06-14
steve_jobs_how_to_live_before_you_die,8853596,Stanford University,2005-06-12
steve_jurvetson_on_model_rocketry,420524,TED2007,2007-03-03
steve_keil_a_manifesto_for_play_for_bulgaria_and_beyond,612769,TEDxBG,2011-01-08
steve_ramirez_and_xu_liu_a_mouse_a_laser_beam_a_manipulated_memory,1059974,TEDxBoston,2013-06-25
steve_silberman_the_forgotten_history_of_autism,1507060,TED2015,2015-03-18
steve_truglia_a_leap_from_the_edge_of_space,577874,TEDGlobal 2009,2009-07-22
steven_addis_a_father_daughter_bond_one_photo_at_a_time,1428223,TED2012,2012-02-29
steven_cowley_fusion_is_energy_s_future,715173,TEDGlobal 2009,2009-07-22
steven_johnson_how_play_leads_to_great_inventions,1193973,TED Studio,2016-10-21
steven_johnson_on_the_web_as_a_city,351511,TED2003,2003-02-02
steven_johnson_tours_the_ghost_map,703602,TEDSalon 2006,2006-11-30
steven_johnson_where_good_ideas_come_from,4039606,TEDGlobal 2010,2010-07-15
steven_levitt_analyzes_crack_economics,2926684,TED2004,2004-02-27
steven_levitt_on_child_carseats,765151,TEDGlobal 2005,2005-07-12
steven_pinker_and_rebecca_newberger_goldstein_the_long_reach_of_reason,1015786,TED2012,2012-02-19
steven_pinker_chalks_it_up_to_the_blank_slate,1080285,TED2003,2003-02-28
steven_pinker_on_language_and_thought,1986716,TEDGlobal 2005,2005-07-07
steven_pinker_on_the_myth_of_violence,2191295,TED2007,2007-03-03
steven_schwaitzberg_a_universal_translator_for_surgeons,500184,TEDxBeaconStreet,2012-11-17
steven_strogatz_on_sync,653134,TED2004,2004-02-02
steven_wise_chimps_have_feelings_and_thoughts_they_should_also_have_rights,1044136,TED2015,2015-03-25
stew_says_black_men_ski,588746,TED2006,2006-03-03
stewart_brand_on_squatter_cities,960681,TED2006,2006-02-02
stewart_brand_on_the_long_now,248103,TED2004,2004-02-02
stewart_brand_proclaims_4_environmental_heresies,671153,TED@State,2009-06-03
stewart_brand_the_dawn_of_de_extinction_are_you_ready,1962698,TED2013,2013-02-26
sting_how_i_started_writing_songs_again,1983411,TED2014,2014-03-18
stuart_brown_says_play_is_more_than_fun_it_s_vital,1707266,Serious Play 2008,2008-05-08
stuart_firestein_the_pursuit_of_ignorance,1865425,TED2013,2013-02-28
stuart_russell_how_ai_might_make_us_better_people,1242186,TED2017,2017-04-24
sue_austin_deep_sea_diving_in_a_wheelchair,2084363,TEDxWomen 2012,2012-12-01
sue_desmond_hellmann_a_smarter_more_precise_way_to_think_about_public_health,945145,TED2016,2016-02-19
sue_klebold_my_son_was_a_columbine_shooter_this_is_my_story,2887477,TEDMED 2016,2016-11-30
sugata_mitra_build_a_school_in_the_cloud,2970425,TED2013,2013-02-26
sugata_mitra_shows_how_kids_teach_themselves,1520276,LIFT 2007,2007-02-02
sugata_mitra_the_child_driven_education,2583589,TEDGlobal 2010,2010-07-15
suheir_hammad_poems_of_war_peace_women_power,624130,TEDWomen 2010,2010-12-08
suki_kim_this_is_what_it_s_like_to_go_undercover_in_north_korea,3656654,TED2015,2015-03-18
sunitha_krishnan_tedindia,2573832,TEDIndia 2009,2009-11-05
sunni_brown,1330705,TED2011,2011-03-03
susan_blackmore_on_memes_and_temes,747170,TED2008,2008-02-29
susan_cain_the_power_of_introverts,18481722,TED2012,2012-02-28
susan_colantuono_the_career_advice_you_probably_didn_t_get,3497794,TEDxBeaconStreet,2013-11-16
susan_etlinger_what_do_we_do_with_all_this_big_data,1234795,TED@IBM,2014-09-25
susan_lim,626325,INK Conference,2010-12-07
susan_pinker_the_secret_to_living_longer_may_be_your_social_life,1544918,TED2017,2017-04-24
susan_robinson_how_i_fail_at_being_disabled,1235866,TED Residency,2016-12-13
susan_savage_rumbaugh_on_apes_that_write,2272836,TED2004,2004-02-02
susan_shaw_the_oil_spill_s_toxic_trade_off,222069,TEDxOilSpill,2010-06-28
susan_solomon_the_promise_of_research_with_stem_cells,846841,TEDGlobal 2012,2012-06-28
suzana_herculano_houzel_what_is_so_special_about_the_human_brain,2541253,TEDGlobal 2013,2013-06-12
suzanne_barakat_islamophobia_killed_my_brother_let_s_end_the_hate,1243843,TEDWomen 2016,2016-10-28
suzanne_lee_grow_your_own_clothes,1251441,TED2011,2011-03-02
suzanne_simard_how_trees_talk_to_each_other,2595816,TEDSummit,2016-06-29
suzanne_talhouk_don_t_kill_your_language,1271146,TEDxBeirut,2012-12-18
svante_paeaebo_dna_clues_to_our_inner_neanderthal,1411899,TEDGlobal 2011,2011-07-14
swami_dayananda_saraswati,287410,Chautauqua Institution,2009-10-01
sxip_shirey_at_the_breathing_place,219601,TED2008,2008-02-12
sylvia_earle_s_ted_prize_wish_to_protect_our_oceans,1177522,TED2009,2009-02-05
