public_URL,talk_id,description,views,event
"<link href=""https://www.ted.com/talks/sheila_nirenberg_a_prosthetic_eye_to_treat_blindness"" rel=""canonical""/>",1309,"At TEDMED, Sheila Nirenberg shows a bold way to create sight in people with certain kinds of blindness: by hooking into the optic nerve and sending signals from a camera direct to the brain.",406887,TEDMED 2011
"<link href=""https://www.ted.com/talks/george_smoot_on_the_design_of_the_universe"" rel=""canonical""/>",404,"At Serious Play 2008, astrophysicist George Smoot shows stunning new images from deep-space surveys, and prods us to ponder how the cosmos -- with its giant webs of dark matter and mysterious gaping voids -- got built this way.",1717034,Serious Play 2008
"<link href=""https://www.ted.com/talks/jill_heinerth_the_mysterious_world_of_underwater_caves"" rel=""canonical""/>",2409,"Cave diver Jill Heinerth explores the hidden underground waterways coursing through our planet. Working with biologists, climatologists and archaeologists, Heinerth unravels the mysteries of the life-forms that inhabit some of the earth's most remote places and helps researchers unlock the history of climate change. In this short talk, take a dive below the waves and explore the wonders of inner space.",1556697,TEDYouth 2015
"<link href=""https://www.ted.com/talks/haas_hahn_how_painting_can_transform_communities"" rel=""canonical""/>",2129,"Artists Jeroen Koolhaas and Dre Urhahn create community art by painting entire neighborhoods, and involving those who live there -- from the favelas of Rio to the streets of North Philadelphia. What's made their projects succeed? In this funny and inspiring talk, the artists explain their art-first approach -- and the importance of a neighborhood barbecue.",1732691,TEDGlobal 2014
"<link href=""https://www.ted.com/talks/beau_lotto_amy_o_toole_science_is_for_everyone_kids_included"" rel=""canonical""/>",1587,"What do science and play have in common? Neuroscientist Beau Lotto thinks all people (kids included) should participate in science and, through the process of discovery, change perceptions. He's seconded by 12-year-old Amy O'Toole, who, along with 25 of her classmates, published the first peer-reviewed article by schoolchildren, about the Blackawton bees project. It starts: ""Once upon a time ... """,1348987,TEDGlobal 2012
"<link href=""https://www.ted.com/talks/brian_little_who_are_you_really_the_puzzle_of_personality"" rel=""canonical""/>",2530,"What makes you, you? Psychologists like to talk about our traits, or defined characteristics that make us who we are. But Brian Little is more interested in moments when we transcend those traits -- sometimes because our culture demands it of us, and sometimes because we demand it of ourselves. Join Little as he dissects the surprising differences between introverts and extroverts and explains why your personality may be more malleable than you think.",5315829,TED2016
"<link href=""https://www.ted.com/talks/nic_marks_the_happy_planet_index"" rel=""canonical""/>",944,"Statistician Nic Marks asks why we measure a nation's success by its productivity -- instead of by the happiness and well-being of its people. He introduces the Happy Planet Index, which tracks national well-being against resource use (because a happy life doesn't have to cost the earth). Which countries rank highest in the HPI? You might be surprised.",1782322,TEDGlobal 2010
"<link href=""https://www.ted.com/talks/chuck_nice_a_funny_look_at_the_unintended_consequences_of_technology"" rel=""canonical""/>",10807,"Technology should work for us, but what happens when it doesn't? Comedian Chuck Nice explores the unintended consequences of technological advancement and human interaction -- with hilarious results.",541405,TED2017
"<link href=""https://www.ted.com/talks/diana_laufenberg_3_ways_to_teach"" rel=""canonical""/>",1034,Diana Laufenberg shares three surprising things she has learned about teaching -- including a key insight about learning from mistakes.,1989492,TEDxMidAtlantic
"<link href=""https://www.ted.com/talks/what_we_learned_from_5_million_books"" rel=""canonical""/>",1227,"Have you played with Google Labs' Ngram Viewer? It's an addicting tool that lets you search for words and ideas in a database of 5 million books from across centuries. Erez Lieberman Aiden and Jean-Baptiste Michel show us how it works, and a few of the surprising things we can learn from 500 billion words.",1859522,TEDxBoston 2011
"<link href=""https://www.ted.com/talks/allan_adams_what_the_discovery_of_gravitational_waves_means"" rel=""canonical""/>",2439,"More than a billion years ago, two black holes in a distant galaxy locked into a spiral, falling inexorably toward each other, and collided. ""All that energy was pumped into the fabric of time and space itself,"" says theoretical physicist Allan Adams, ""making the universe explode in roiling waves of gravity."" About 25 years ago, a group of scientists built a giant laser detector called LIGO to search for these kinds of waves, which had been predicted but never observed. In this mind-bending talk, Adams breaks down what happened when, in September 2015, LIGO detected an unthinkably small anomaly, leading to one of the most exciting discoveries in the history of physics.",2505212,TED2016
"<link href=""https://www.ted.com/talks/sxip_shirey_at_the_breathing_place"" rel=""canonical""/>",290,"Composer Sxip Shirey makes music from the simple, dramatic act of breathing -- alone and together. Open your ears to a passionate 3 minutes. ",221555,TED2008
"<link href=""https://www.ted.com/talks/john_walker_re_creates_great_performances"" rel=""canonical""/>",329,"Imagine hearing great, departed pianists play again today, just as they would in person. John Q. Walker demonstrates how recordings can be analyzed for precise keystrokes and pedal motions, then played back on computer-controlled grand pianos.",339596,EG 2007
"<link href=""https://www.ted.com/talks/duarte_geraldino_what_we_re_missing_in_the_debate_about_immigration"" rel=""canonical""/>",2879,"Between 2008 and 2016, the United States deported more than three million people. What happens to those left behind? Journalist Duarte Geraldino picks up the story of deportation where the state leaves off. Learn more about the wider impact of forced removal as Geraldino explains how the sudden absence of a mother, a local business owner or a high school student ripples outward and wreaks havoc on the relationships that hold our communities together.",1058369,TED Residency
"<link href=""https://www.ted.com/talks/hilary_cottam_social_services_are_broken_how_we_can_fix_them"" rel=""canonical""/>",2364,"When a family falls into crisis -- and it sometimes happens, thanks to unemployment, drugs, bad relationships and bad luck -- the social services system is supposed to step in and help them get back on track. As Hilary Cottam shows, in the UK a typical family in crisis can be eligible for services from more than 70 different agencies, but it's unlikely that any one of them can really make a difference. Cottam, a social entrepreneur herself, asks us to think about the ways we solve deep and complex social problems. How can we build supportive, enthusiastic relationships between those in need and those that provide help?",710826,TEDGlobal>London
"<link href=""https://www.ted.com/talks/gavin_schmidt_the_emergent_patterns_of_climate_change"" rel=""canonical""/>",1988,"You can't understand climate change in pieces, says climate scientist Gavin Schmidt. It's the whole, or it's nothing. In this illuminating talk, he explains how he studies the big picture of climate change with mesmerizing models that illustrate the endlessly complex interactions of small-scale environmental events.",1189543,TED2014
"<link href=""https://www.ted.com/talks/shashi_tharoor"" rel=""canonical""/>",689,"India is fast becoming a superpower, says Shashi Tharoor -- not just through trade and politics, but through ""soft"" power, its ability to share its culture with the world through food, music, technology, Bollywood. He argues that in the long run it's not the size of the army that matters as much as a country's ability to influence the world's hearts and minds.",1568486,TEDIndia 2009
"<link href=""https://www.ted.com/talks/corneille_ewango_is_a_hero_of_the_congo_forest"" rel=""canonical""/>",299,"Botanist Corneille Ewango talks about his work at the Okapi Faunal Reserve in the Congo Basin -- and his heroic work protecting it from poachers, miners and raging civil wars.",412673,TEDGlobal 2007
"<link href=""https://www.ted.com/talks/ameera_harouda_why_i_put_myself_in_danger_to_tell_the_stories_of_gaza"" rel=""canonical""/>",2488,"When Ameera Harouda hears the sounds of bombs or shells, she heads straight towards them. ""I want to be there first because these stories should be told,"" says Gaza's first female ""fixer,"" a role that allows her to guide journalists into chaotic, war zone scenarios in her home country, which she still loves despite its terrible situation. Find out what motivates Harouda to give a voice to Gaza's human suffering in this unforgettable talk.",1006661,TED2016
"<link href=""https://www.ted.com/talks/yves_behar_s_supercharged_motorcycle_design"" rel=""canonical""/>",552,"Yves Behar and Forrest North unveil Mission One, a sleek, powerful electric motorcycle. They share slides from distant (yet similar) childhoods that show how collaboration kick-started their friendship -- and shared dreams.",565385,TED2009
"<link href=""https://www.ted.com/talks/shlomo_benartzi_saving_more_tomorrow"" rel=""canonical""/>",1367,"It's easy to imagine saving money next week, but how about right now? Generally, we want to spend it. Economist Shlomo Benartzi says this is one of the biggest obstacles to saving enough for retirement, and asks: How do we turn this behavioral challenge into a behavioral solution?",1464436,TEDSalon NY2011
"<link href=""https://www.ted.com/talks/ricardo_semler_how_to_run_a_company_with_almost_no_rules"" rel=""canonical""/>",2182,"What if your job didn't control your life? Brazilian CEO Ricardo Semler practices a radical form of corporate democracy, rethinking everything from board meetings to how workers report their vacation days (they don't have to). It's a vision that rewards the wisdom of workers, promotes work-life balance — and leads to some deep insight on what work, and life, is really all about. Bonus question: What if schools were like this too?",2778952,TEDGlobal 2014
"<link href=""https://www.ted.com/talks/catarina_mota_play_with_smart_materials"" rel=""canonical""/>",1692,"Ink that conducts electricity; a window that turns from clear to opaque at the flip of a switch; a jelly that makes music. All this stuff exists, and Catarina Mota says: It's time to play with it. Mota leads us on a tour of surprising and cool new materials, and suggests that the way we'll figure out what they're good for is to experiment, tinker and have fun.",1084471,TEDGlobal 2012
"<link href=""https://www.ted.com/talks/hans_rosling_the_good_news_of_the_decade"" rel=""canonical""/>",974,"Hans Rosling reframes 10 years of UN data with his spectacular visuals, lighting up an astonishing -- and under-reported -- piece of front-page good news: We're winning the war against child death. Along the way, he debunks one flawed approach to stats that blots out such vital stories.",765753,TEDxChange
"<link href=""https://www.ted.com/talks/tom_rielly_delivers_a_comic_send_up_of_ted2006"" rel=""canonical""/>",114,"Satirist Tom Rielly delivers a wicked parody of the 2006 TED conference, taking down the $100 laptop, the plight of the polar bear, and people who mention, one too many times, that they work at Harvard. Watch for a special moment between Tom and Al Gore.",630605,TED2006
"<link href=""https://www.ted.com/talks/ngozi_okonjo_iweala_how_africa_can_keep_rising"" rel=""canonical""/>",2560,"African growth is a trend, not a fluke, says economist and former Finance Minister of Nigeria Ngozi Okonjo-Iweala. In this refreshingly candid and straightforward talk, Okonjo-Iweala describes the positive progress on the continent and outlines eight challenges African nations still need to address in order to create a better future.",837402,TEDSummit
"<link href=""https://www.ted.com/talks/neil_pasricha_the_3_a_s_of_awesome"" rel=""canonical""/>",1048,"Neil Pasricha's blog 1000 Awesome Things savors life's simple pleasures, from free refills to clean sheets. In this heartfelt talk, he reveals the 3 secrets (all starting with A) to leading a life that's truly awesome.",2956927,TEDxToronto 2010
"<link href=""https://www.ted.com/talks/charles_leadbeater_on_innovation"" rel=""canonical""/>",63,"In this deceptively casual talk, Charles Leadbeater weaves a tight argument  that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't.",1496870,TEDGlobal 2005
"<link href=""https://www.ted.com/talks/his_holiness_the_karmapa_the_technology_of_the_heart"" rel=""canonical""/>",946,"His Holiness the Karmapa talks about how he was discovered to be the reincarnation of a revered figure in Tibetan Buddhism. In telling his story, he urges us to work on not just technology and design, but the technology and design of the heart. He is translated onstage by Tyler Dewar.",844578,TEDIndia 2009
"<link href=""https://www.ted.com/talks/bandi_mbubi_demand_a_fair_trade_cell_phone"" rel=""canonical""/>",1567,"Your mobile phone, computer and game console have a bloody past — tied to tantalum mining, which funds the war in the Democratic Republic of the Congo. Drawing on his personal story, activist and refugee Bandi Mbubi gives a stirring call to action. ",601025,TEDxExeter
"<link href=""https://www.ted.com/talks/parag_khanna_how_megacities_are_changing_the_map_of_the_world"" rel=""canonical""/>",2475,"""I want you to reimagine how life is organized on earth,"" says global strategist Parag Khanna. As our expanding cities grow ever more connected through transportation, energy and communications networks, we evolve from geography to what he calls ""connectography."" This emerging global network civilization holds the promise of reducing pollution and inequality -- and even overcoming geopolitical rivalries. In this talk, Khanna asks us to embrace a new maxim for the future: ""Connectivity is destiny.""",1002573,TED2016
"<link href=""https://www.ted.com/talks/lisa_nip_how_humans_could_evolve_to_survive_in_space"" rel=""canonical""/>",2471,"If we hope to one day leave Earth and explore the universe, our bodies are going to have to get a lot better at surviving the harsh conditions of space. Using synthetic biology, Lisa Nip hopes to harness special powers from microbes on Earth -- such as the ability to withstand radiation -- to make humans more fit for exploring space. ""We're approaching a time during which we'll have the capacity to decide our own genetic destiny,"" Nip says. ""Augmenting the human body with new abilities is no longer a question of how, but of when.""",1584219,TEDxBeaconStreet
"<link href=""https://www.ted.com/talks/dan_pallotta_the_dream_we_haven_t_dared_to_dream"" rel=""canonical""/>",2497,"What are your dreams? Better yet, what are your broken dreams? Dan Pallotta dreams of a time when we are as excited, curious and scientific about the development of our humanity as we are about the development of our technology. ""What we fear most is that we will be denied the opportunity to fulfill our true potential,"" Pallotta says. ""Imagine living in a world where we simply recognize that deep, existential fear in one another -- and love one another boldly because we know that to be human is to live with that fear.""",1926180,TED2016
"<link href=""https://www.ted.com/talks/ameenah_gurib_fakim_an_interview_with_mauritius_s_first_female_president"" rel=""canonical""/>",3632,"Ameenah Gurib-Fakim has been an academic, an entrepreneur and is now the president of Mauritius -- the first Muslim female head of state in Africa. In a wide-ranging conversation with journalist Stephanie Busari, Gurib-Fakim discusses the humble beginnings of her political career, what it's like to be both a person of faith and a scientist and why we need to value traditional African knowledge, among much more. ""I don't think you should take yourself seriously,"" she says. ""You need to have trust in what you can do, have confidence in yourself and give yourself a set of goals and just work towards them.""",878467,TEDGlobal 2017
"<link href=""https://www.ted.com/talks/halla_tomasdottir"" rel=""canonical""/>",1030,"Halla Tómasdóttir managed to take her company Audur Capital through the eye of the financial storm in Iceland by applying 5 traditionally ""feminine"" values to financial services. At TEDWomen, she talks about these values and the importance of balance.",615101,TEDWomen 2010
"<link href=""https://www.ted.com/talks/michael_bierut_the_genius_of_the_london_tube_map"" rel=""canonical""/>",12346,Design legend Michael Bierut tells the story of the accidental success of one of the most famous maps in the world -- the London Tube Map.,416397,Small Thing Big Idea
"<link href=""https://www.ted.com/talks/ivan_oransky_are_we_over_medicalized"" rel=""canonical""/>",1481,"Reuters health editor Ivan Oransky warns that we're suffering from an epidemic of preposterous preconditions -- pre-diabetes, pre-cancer, and many more. In this engaging talk from TEDMED he shows how health care can find a solution... by taking an important lesson from baseball.",662075,TEDMED 2012
"<link href=""https://www.ted.com/talks/marco_annunziata_welcome_to_the_age_of_the_industrial_internet"" rel=""canonical""/>",1893,"Everyone's talking about the ""Internet of Things,"" but what exactly does that mean for our future? In this thoughtful talk, economist Marco Annunziata looks at how technology is transforming the industrial sector, creating machines that can see, feel, sense and react -- so they can be operated far more efficiently. Think: airplane parts that send an alert when they need to be serviced, or wind turbines that communicate with one another to generate more electricity. It's a future with exciting implications for us all.",1458323,TED@BCG San Francisco
"<link href=""https://www.ted.com/talks/roger_doiron_my_subversive_garden_plot"" rel=""canonical""/>",1306,"A vegetable garden can do more than save you money -- it can save the world. In this talk, Roger Doiron shows how gardens can re-localize our food and feed our growing population.",364799,TEDxDirigo
"<link href=""https://www.ted.com/talks/daniel_goldstein_the_battle_between_your_present_and_future_self"" rel=""canonical""/>",1310,"Every day, we make decisions that have good or bad consequences for our future selves. (Can I skip flossing just this one time?) Daniel Goldstein makes tools that help us imagine ourselves over time, so that we make smart choices for Future Us.",2257049,TEDSalon NY2011
"<link href=""https://www.ted.com/talks/peter_van_uhm_why_i_chose_a_gun"" rel=""canonical""/>",1342,"Peter van Uhm is the Netherlands' chief of defense, but that does not mean he is pro-war. In this talk, he explains how his career is one shaped by a love of peace, not a desire for bloodshed -- and why we need armies if we want peace.",2205917,TEDxAmsterdam
"<link href=""https://www.ted.com/talks/ali_carr_chellman_gaming_to_re_engage_boys_in_learning"" rel=""canonical""/>",1053,"In her talk, Ali Carr-Chellman pinpoints three reasons boys are tuning out of school in droves, and lays out her bold plan to re-engage them: bringing their culture into the classroom, with new rules that let boys be boys, and video games that teach as well as entertain.",1034342,TEDxPSU
"<link href=""https://www.ted.com/talks/moshe_safdie_how_to_reinvent_the_apartment_building"" rel=""canonical""/>",2092,"In 1967, Moshe Safdie reimagined the monolithic apartment building, creating “Habitat ’67,” which gave each unit an unprecedented sense of openness. Nearly 50 years later, he believes the need for this type of building is greater than ever. In this short talk, Safdie surveys a range of projects that do away with the high-rise and let light permeate into densely-packed cities.",1668415,TED2014
"<link href=""https://www.ted.com/talks/christine_sun_kim_the_enchanting_music_of_sign_language"" rel=""canonical""/>",2357,"Artist and TED Fellow Christine Sun Kim was born deaf, and she was taught to believe that sound wasn't a part of her life, that it was a hearing person's thing. Through her art, she discovered similarities between American Sign Language and music, and she realized that sound doesn't have to be known solely through the ears -- it can be felt, seen and experienced as an idea. In this endearing talk, she invites us to open our eyes and ears and participate in the rich treasure of visual language.",1463107,TED Fellows Retreat 2015
"<link href=""https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god"" rel=""canonical""/>",86,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  ",3903604,TED2006
"<link href=""https://www.ted.com/talks/jennifer_golbeck_the_curly_fry_conundrum_why_social_media_likes_say_more_than_you_might_think"" rel=""canonical""/>",1957,"Do you like curly fries? Have you Liked them on Facebook? Watch this talk to find out the surprising things Facebook (and others) can guess about you from your random Likes and Shares. Computer scientist Jennifer Golbeck explains how this came about, how some applications of the technology are not so cute -- and why she thinks we should return the control of information to its rightful owners.",2173927,TEDxMidAtlantic 2013
"<link href=""https://www.ted.com/talks/ethan_zuckerman"" rel=""canonical""/>",916,"Sure, the web connects the globe, but most of us end up hearing mainly from people just like ourselves. Blogger and technologist Ethan Zuckerman wants to help share the stories of the whole wide world. He talks about clever strategies to open up your Twitter world and read the news in languages you don't even know.",728181,TEDGlobal 2010
"<link href=""https://www.ted.com/talks/derek_sivers_weird_or_just_different"" rel=""canonical""/>",755,"""There's a flip side to everything,"" the saying goes, and in 2 minutes, Derek Sivers shows this is true in a few ways you might not expect.",3077570,TEDIndia 2009
