slug,view_count,event,filmed
9_11_healing_the_mothers_who_found_forgiveness_friendship,836750,TEDWomen 2010,2010-12-12
a_choir_as_big_as_the_internet,400751,Eric Whitacre's Virtual Choir,2010-03-10
a_j_jacobs_year_of_living_biblically,2419084,EG 2007,2007-12-02
a_robot_that_flies_like_a_bird,6331411,TEDGlobal 2011,2011-07-15
a_ted_speaker_s_worst_nightmare,2984064,TED2012,2012-03-01
a_whistleblower_you_haven_t_heard,2004839,TEDxRotterdam 2010,2010-06-04
aakash_odedra_a_dance_in_a_hurricane_of_paper_wind_and_light,831464,TEDGlobal 2014,2014-10-21
aala_el_khani_what_it_s_like_to_be_a_parent_in_a_war_zone,943318,TEDxManchester,2016-02-14
aaron_huey,1404833,TEDxDU 2010,2010-09-19
aaron_koblin,1503044,TED2011,2011-03-02
aaron_o_connell_making_sense_of_a_visible_quantum_object,1290118,TED2011,2011-03-02
abe_davis_new_video_technology_that_reveals_an_object_s_hidden_properties,1405188,TED2015,2015-03-17
abha_dawesar_life_in_the_digital_now,1263264,TEDGlobal 2013,2013-06-14
abigail_marsh_why_some_people_are_more_altruistic_than_others,1775619,TEDSummit,2016-06-26
abigail_washburn_building_us_china_relations_by_banjo,989838,TED2012,2012-02-27
abraham_verghese_a_doctor_s_touch,1432826,TEDGlobal 2011,2011-07-14
achenyo_idachaba_how_i_turned_a_deadly_plant_into_a_thriving_business,1743873,TEDWomen 2015,2015-05-27
adam_alter_why_our_screens_make_us_less_happy,2613880,TED2017,2017-04-24
adam_davidson_what_we_learned_from_teetering_on_the_fiscal_cliff,787596,TEDSalon NY2012,2012-12-17
adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer,1010021,TEDxStanford,2016-04-24
adam_driver_my_journey_from_marine_to_actor,4588988,TED Talks Live,2015-11-03
adam_foss_a_prosecutor_s_vision_for_a_better_justice_system,1809595,TED2016,2016-02-18
adam_galinsky_how_to_speak_up_for_yourself,3430090,TEDxNewYork,2016-09-10
adam_garone_healthier_men_one_moustache_at_a_time,720197,TEDxToronto 2011,2011-11-14
adam_grant_are_you_a_giver_or_a_taker,3917466,TED@IBM,2016-11-15
adam_grant_the_surprising_habits_of_original_thinkers,7104668,TED2016,2016-02-16
adam_grosser_and_his_sustainable_fridge,867800,TED2007,2007-02-02
adam_ostrow_after_your_final_status_update,1156511,TEDGlobal 2011,2011-07-11
adam_sadowsky_engineers_a_viral_music_video,1072285,TEDxUSC,2010-04-13
adam_savage_my_love_letter_to_cosplay,1778915,TED2016,2016-02-16
adam_savage_s_obsessions,1724294,EG 2008,2008-12-12
adam_spencer_why_i_fell_in_love_with_monster_prime_numbers,2057595,TED2013,2013-02-27
aditi_gupta_a_taboo_free_way_to_talk_about_periods,1461046,TEDxGatewayWomen,2015-05-29
aditi_shankardass_a_second_opinion_on_learning_disorders,966697,TEDIndia 2009,2009-11-11
adora_svitak,4899371,TED2010,2010-02-13
afra_raymond_three_myths_about_corruption,833596,TEDxPortofSpain,2012-12-12
ahn_trio_a_modern_take_on_piano_violin_cello,760347,TEDWomen 2010,2010-12-08
