,slug,view_count,event,filmed
0,9_11_healing_the_mothers_who_found_forgiveness_friendship,836750,TEDWomen 2010,2010-12-12
1,a_choir_as_big_as_the_internet,400751,Eric Whitacre's Virtual Choir,2010-03-10
3,a_robot_that_flies_like_a_bird,6331411,TEDGlobal 2011,2011-07-15
4,a_ted_speaker_s_worst_nightmare,2984064,TED2012,2012-03-01
5,a_whistleblower_you_haven_t_heard,2004839,TEDxRotterdam 2010,2010-06-04
6,aakash_odedra_a_dance_in_a_hurricane_of_paper_wind_and_light,831464,TEDGlobal 2014,2014-10-21
7,aala_el_khani_what_it_s_like_to_be_a_parent_in_a_war_zone,943318,TEDxManchester,2016-02-14
8,aaron_huey,1404833,TEDxDU 2010,2010-09-19
9,aaron_koblin,1503044,TED2011,2011-03-02
13,abigail_marsh_why_some_people_are_more_altruistic_than_others,1775619,TEDSummit,2016-06-26
17,adam_alter_why_our_screens_make_us_less_happy,2613880,TED2017,2017-04-24
19,adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer,1010021,TEDxStanford,2016-04-24
20,adam_driver_my_journey_from_marine_to_actor,4588988,TED Talks Live,2015-11-03
22,adam_galinsky_how_to_speak_up_for_yourself,3430090,TEDxNewYork,2016-09-10
24,adam_grant_are_you_a_giver_or_a_taker,3917466,TED@IBM,2016-11-15
26,adam_grosser_and_his_sustainable_fridge,867800,TED2007,2007-02-02
29,adam_savage_my_love_letter_to_cosplay,1778915,TED2016,2016-02-16
30,adam_savage_s_obsessions,1724294,EG 2008,2008-12-12
34,adora_svitak,4899371,TED2010,2010-02-13
36,ahn_trio_a_modern_take_on_piano_violin_cello,760347,TEDWomen 2010,2010-12-08
37,aimee_mullins_on_running,1037813,TED1998,1998-02-02
38,aimee_mullins_prosthetic_aesthetics,3549255,TED2009,2009-02-05
43,al_gore_on_averting_climate_crisis,3229810,TED2006,2006-02-25
46,al_gore_warns_on_latest_climate_trends,792178,TED2009,2009-02-06
47,al_seckel_says_our_brains_are_mis_wired,2179841,TED2004,2004-02-26
51,alain_de_botton_atheism_2_0,2264873,TEDGlobal 2011,2011-07-13
54,alan_russell_on_regenerating_our_bodies,1468307,TED2006,2006-02-02
55,alan_siegel_let_s_simplify_legal_jargon,895061,TED2010,2010-02-11
56,alan_smith_why_we_re_so_bad_at_statistics,1471510,TEDxExeter,2016-04-15
58,alastair_gray_how_fake_handbags_fund_terrorism_and_organized_crime,891933,TED@Tommy,2017-11-14
63,alejandro_sanchez_alvarado_to_solve_old_problems_study_new_species,1156528,TEDxKC,2016-08-19
64,aleph_molinari_let_s_bridge_the_digital_divide,121438,TEDxSanMigueldeAllende,2011-08-06
65,alessandra_orofino_it_s_our_city_let_s_fix_it,755907,TEDGlobal 2014,2014-10-07
66,alessandro_acquisti_why_privacy_matters,1328558,TEDGlobal 2013,2013-06-14
67,alex_kipman_the_dawn_of_the_age_of_holograms,2526743,TED2016,2016-02-18
69,alex_steffen,992921,TEDGlobal 2011,2011-07-12
70,alex_steffen_sees_a_sustainable_future,1442915,TEDGlobal 2005,2005-07-07
71,alex_tabarrok_foresees_economic_growth,765401,TED2009,2009-02-07
73,alexa_meade,2704247,TEDGlobal 2013,2013-06-13
75,alexander_betts_why_brexit_happened_and_what_to_do_next,2543512,TEDSummit,2016-06-29
77,alexander_wagner_what_really_motivates_people_to_be_honest_in_business,1219280,TEDxZurich,2016-11-11
82,alice_goffman_college_or_prison_two_destinies_one_blatant_injustice,1589390,TED2015,2015-03-19
84,alicia_garza_patrisse_cullors_and_opal_tometi_an_interview_with_the_founders_of_black_lives_matter,811084,TEDWomen 2016,2016-10-27
85,alisa_miller_shares_the_news_about_the_news,1933754,TED2008,2008-03-03
87,alison_jackson_looks_at_celebrity,676842,TEDGlobal 2005,2005-07-07
93,allan_jones_a_map_of_the_brain,1060496,TEDGlobal 2011,2011-07-13
95,allison_hunt_gets_a_new_hip,573525,TED2007,2007-03-03
98,alyssa_monks_how_loss_helped_one_artist_find_beauty_in_imperfection,1176507,TEDxIndianaUniversity,2015-11-13
101,amanda_palmer_jherek_bischoff_usman_riaz_space_oddity,748397,TED2016,2016-02-19
104,ameenah_gurib_fakim_an_interview_with_mauritius_s_first_female_president,725877,TEDGlobal 2017,2017-08-27
107,amel_karboul_the_global_learning_crisis_and_what_to_do_about_it,1181853,TED@BCG Milan,2017-10-04
110,amit_sood_every_piece_of_art_you_ve_ever_wanted_to_see_up_close_and_searchable,950488,TED2016,2016-02-17
616,amy_adele_hasinoff_how_to_practice_safe_sexting,1326919,TEDxMileHigh,2016-06-25
618,amy_green_a_video_game_to_cope_with_grief,1263054,TEDNYC,2017-02-15
621,amy_smith_shares_simple_lifesaving_design,1458949,TED2006,2006-02-24
622,amy_tan_on_creativity,2574542,TED2008,2008-02-02
624,anab_jain_why_we_need_to_imagine_different_futures,1458643,TED2017,2017-04-24
625,anand_agarawala_demos_his_bumptop_desktop,1487143,TED2007,2007-03-03
626,anand_giridharadas_a_letter_to_all_who_have_lost_in_this_era,977966,TEDSummit,2016-06-29
640,andres_ruzo_the_mythical_boiling_river_of_the_amazon,1364659,TEDGlobal 2014,2014-10-06
643,andrew_blum_what_is_the_internet_really,1364311,TEDGlobal 2012,2012-06-27
648,andrew_mwenda_takes_a_new_look_at_africa,775989,TEDGlobal 2007,2007-06-06
649,andrew_pelling_this_scientist_makes_ears_out_of_apples,1213554,TED2016,2016-02-15
654,andrew_youn_3_reasons_why_we_can_win_the_fight_against_poverty,1198818,TED2016,2016-02-17
657,andy_yen_think_your_email_s_private_think_again,1601806,TEDGlobal 2014,2014-10-08
659,angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,12992530,TED Talks Education,2013-04-04
661,angela_wang_how_china_is_changing_the_future_of_shopping,850937,TED@BCG Milan,2017-10-04
664,ani_liu_smelfies_and_other_experiments_in_synthetic_biology,807370,TEDxBeaconStreet,2016-11-19
665,anika_paulson_how_i_found_myself_through_music,955237,TED2017,2017-04-24
666,anil_ananthaswamy,540798,INK Conference,2010-12-08
668,anil_seth_how_your_brain_hallucinates_your_conscious_reality,3898551,TED2017,2017-04-24
669,anindya_kundu_the_boost_students_need_to_overcome_obstacles,1208079,TED Residency,2017-06-06
670,anjali_tripathi_why_earth_may_someday_look_like_mars,1005638,TEDxBeaconStreet,2015-11-14
671,anjan_chatterjee_how_your_brain_decides_what_is_beautiful,1833460,TEDMED 2016,2016-11-30
672,anjan_sundaram_why_i_risked_my_life_to_expose_a_government_massacre,840582,TED2017,2017-04-24
673,ann_cooper_talks_school_lunches,1190063,EG 2007,2007-12-12
675,anna_deavere_smith_s_american_character,1001584,TED2005,2005-02-25
676,anna_heringer_the_warmth_and_wisdom_of_mud_buildings,902282,TED2017,2017-04-24
679,anne_lamott_12_truths_i_learned_from_life_and_writing,2303278,TED2017,2017-04-24
680,anne_madden_meet_the_microscopic_life_in_your_home_and_on_your_face,1133180,TED2017,2017-04-24
686,annmarie_thomas_squishy_circuits,869427,TED2011,2011-03-02
690,anthony_d_romero_this_is_what_democracy_looks_like,1052210,TED2017,2017-04-24
691,anthony_goldbloom_the_jobs_we_ll_lose_to_machines_and_the_ones_we_won_t,2083757,TED2016,2016-02-15
701,ari_wallach_3_ways_to_plan_for_the_very_long_term,1734621,TEDxMidAtlantic,2016-10-21
705,armando_azua_bustos_the_most_martian_place_on_earth,920296,TED2017,2017-04-24
706,arthur_benjamin_does_mathemagic,8496155,TED2005,2005-02-02
707,arthur_benjamin_s_formula_for_changing_math_education,2253748,TED2009,2009-02-05
709,arthur_brooks_a_conservative_s_plea_let_s_work_together,1163483,TED2016,2016-02-15
718,ashley_judd_how_online_abuse_of_women_has_spiraled_out_of_control,1547676,TEDWomen 2016,2016-10-27
719,ashraf_ghani_on_rebuilding_broken_states,826910,TEDGlobal 2005,2005-07-12
720,ashton_applewhite_let_s_end_ageism,1201816,TED2017,2017-04-24
721,ashton_cofer_a_young_inventor_s_plan_to_recycle_styrofoam,1127483,TED-Ed Weekend,2016-12-03
723,astonishing_performance_by_a_venezuelan_youth_orchestra_1,2106661,TED2009,2009-02-05
726,atul_gawande_want_to_get_great_at_something_get_a_coach,1017909,TED2017,2017-04-24
727,aubrey_de_grey_says_we_can_avoid_aging,3346547,TEDGlobal 2005,2005-07-14
729,augie_picado_the_real_reason_manufacturing_jobs_are_disappearing,1416551,TED@UPS,2017-07-20
