,Unnamed: 0,slug,view_count,event,filmed
0,0,9_11_healing_the_mothers_who_found_forgiveness_friendship,836750,TEDWomen 2010,2010-12-12
1,1,a_choir_as_big_as_the_internet,400751,Eric Whitacre's Virtual Choir,2010-03-10
2,3,a_robot_that_flies_like_a_bird,6331411,TEDGlobal 2011,2011-07-15
3,4,a_ted_speaker_s_worst_nightmare,2984064,TED2012,2012-03-01
4,5,a_whistleblower_you_haven_t_heard,2004839,TEDxRotterdam 2010,2010-06-04
5,6,aakash_odedra_a_dance_in_a_hurricane_of_paper_wind_and_light,831464,TEDGlobal 2014,2014-10-21
6,7,aala_el_khani_what_it_s_like_to_be_a_parent_in_a_war_zone,943318,TEDxManchester,2016-02-14
9,13,abigail_marsh_why_some_people_are_more_altruistic_than_others,1775619,TEDSummit,2016-06-26
10,17,adam_alter_why_our_screens_make_us_less_happy,2613880,TED2017,2017-04-24
11,19,adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer,1010021,TEDxStanford,2016-04-24
12,20,adam_driver_my_journey_from_marine_to_actor,4588988,TED Talks Live,2015-11-03
13,22,adam_galinsky_how_to_speak_up_for_yourself,3430090,TEDxNewYork,2016-09-10
14,24,adam_grant_are_you_a_giver_or_a_taker,3917466,TED@IBM,2016-11-15
16,29,adam_savage_my_love_letter_to_cosplay,1778915,TED2016,2016-02-16
17,30,adam_savage_s_obsessions,1724294,EG 2008,2008-12-12
19,36,ahn_trio_a_modern_take_on_piano_violin_cello,760347,TEDWomen 2010,2010-12-08
20,37,aimee_mullins_on_running,1037813,TED1998,1998-02-02
21,38,aimee_mullins_prosthetic_aesthetics,3549255,TED2009,2009-02-05
22,43,al_gore_on_averting_climate_crisis,3229810,TED2006,2006-02-25
23,46,al_gore_warns_on_latest_climate_trends,792178,TED2009,2009-02-06
28,56,alan_smith_why_we_re_so_bad_at_statistics,1471510,TEDxExeter,2016-04-15
29,58,alastair_gray_how_fake_handbags_fund_terrorism_and_organized_crime,891933,TED@Tommy,2017-11-14
30,63,alejandro_sanchez_alvarado_to_solve_old_problems_study_new_species,1156528,TEDxKC,2016-08-19
31,64,aleph_molinari_let_s_bridge_the_digital_divide,121438,TEDxSanMigueldeAllende,2011-08-06
35,69,alex_steffen,992921,TEDGlobal 2011,2011-07-12
